"5","505","1005","1505","2005","2505","3005","3505","4005","4505","5005"
"74","84","99","89","100","91","106","95","105","104","112"
"27168380","151378967","240876433","320853309","325818446","458258066","401497416","279301713","351008850","335914323","394819123"
"5","505","1005","1505","2005","2505","3005","3505","4005","4505","5005"
"73","97","86","88","98","110","90","98","90","99","95"
"22526314","251895708","282459433","472088805","743101694","277062965","420578630","344873539","351777932","534061074","400149628"
"5","505","1005","1505","2005","2505","3005","3505","4005","4505","5005"
"73","86","94","87","95","85","91","99","88","100","112"
"11258144","226836687","247758316","425211130","753392048","322132720","319685100","366422970","300969859","347941754","397247462"
"5","505","1005","1505","2005","2505","3005","3505","4005","4505","5005"
"76","99","84","87","100","99","95","94","97","92","103"
"28987087","237298450","212009114","421665696","438104256","416134892","298724793","281558015","582011554","513275468","440984628"
"5","505","1005","1505","2005","2505","3005","3505","4005","4505","5005"
"75","91","84","84","80","109","89","86","98","94","104"
"76615744","146659740","204792875","525040359","513870997","329664361","316141113","263879375","407584039","348577087","371622280"
"5","505","1005","1505","2005","2505","3005","3505","4005","4505","5005"
"75","93","82","96","96","104","103","94","100","101","112"
"13501172","308006415","222429823","473522047","486150078","384077407","312518679","360863705","313728689","330013258","351191734"
"5","505","1005","1505","2005","2505","3005","3505","4005","4505","5005"
"79","84","90","81","83","91","86","106","98","104","91"
"12110166","370898638","284655793","367588519","420108255","311415404","227983910","312775482","290392831","383350165","400560159"
"5","505","1005","1505","2005","2505","3005","3505","4005","4505","5005"
"75","89","89","107","93","104","96","91","102","107","103"
"10945294","149885082","393301115","494752036","570951690","544644360","250292043","270330079","305544691","363278123","394726486"
"5","505","1005","1505","2005","2505","3005","3505","4005","4505","5005"
"71","85","88","93","88","91","105","97","98","97","95"
"10586228","179689335","390896294","429654691","484484724","413472672","247095491","274001039","294388739","360178470","478282265"
"5","505","1005","1505","2005","2505","3005","3505","4005","4505","5005"
"72","81","92","92","98","90","102","100","110","98","105"
"21674570","129387899","312216454","448279110","467153170","347407330","297707891","284648559","475861214","419003213","402135068"
