"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"3","10","25","106","101","112","113","94","113","113","113"
"23756","289699","584093","1930655","1421421","1623239","1746409","2927686","4990356","11065839","4093190"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"5","6","81","96","102","95","111","113","113","113","113"
"72038","941843","3116025","913513","1054625","1569058","2385442","2068517","3324211","3911308","71595399"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"5","68","82","97","100","95","104","113","111","113","106"
"26729","258614","520841","947654","1217464","5430660","2278349","4613283","2496649","2886601","2124421"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"6","9","79","89","111","100","104","109","113","113","113"
"17081","172329","354628","577849","798364","1182578","1299301","3153216","4078411","3359601","3770140"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"7","9","35","91","96","94","90","112","103","113","113"
"24357","250125","521209","837744","1222784","1222880","1395345","1762588","3429689","2427035","3622841"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"6","69","78","94","109","108","106","113","113","113","113"
"25283","1881157","1690756","1010457","6040250","5126104","1976319","3784603","2812347","3979447","3143014"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"8","6","86","91","107","97","112","104","113","113","113"
"17529","190416","424192","654370","1029936","1369612","1315086","1455742","3184521","2406852","2300442"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"6","7","79","99","98","86","94","110","113","113","113"
"23873","379341","532964","5342009","3846840","3209424","1668077","2250958","2433247","3273510","3891743"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"7","5","96","93","98","85","107","103","113","113","113"
"16916","177528","370543","751232","786002","1291573","1531709","2770187","5477189","10741333","4250574"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"4","7","78","89","103","99","108","113","109","113","112"
"22415","237645","380958","747878","1333678","1644370","1738573","1675951","2267950","2060597","4150937"
