"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"8","23","48","60","60","60","60","60","60","60","60"
"4198391","6389201","19272279","4713886","1570436","2191817","14728928","5094646","2747462","3156348","3247224"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"6","16","31","55","60","60","60","60","60","60","60"
"1244678","5683361","5149043","8442746","2410753","3427759","2880849","3258997","22789999","5711557","3853390"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"4","21","46","60","60","60","60","60","60","60","60"
"1119557","6570953","6085773","12104526","1460106","2224560","3331092","3230220","3219052","3675279","3864715"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"5","14","50","60","60","60","60","60","60","60","60"
"887225","5178945","6136480","5166350","2406823","3095090","2608280","2891426","3699593","7294611","7580724"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"5","75","87","101","101","101","101","101","101","101","101"
"1151357","5817313","7233949","6401474","2197417","2209408","3300084","4267500","4154078","5018753","5583610"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"6","87","89","89","89","89","89","89","89","89","89"
"986408","5454258","7875645","10306846","5662504","5643483","8369803","3941095","6504639","22328482","9802005"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"10","92","111","111","111","111","111","111","111","111","111"
"1179415","5874438","10945896","4035513","2248348","2653452","7413044","4812334","5292424","3823856","4005077"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"6","12","22","60","60","60","60","60","60","60","60"
"1193231","6261448","11103103","2479383","2050847","3357854","2562792","11673839","4354273","3768662","4417326"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"7","33","55","60","60","60","60","60","60","60","60"
"1273963","6141190","10982778","11689459","2167767","6919258","39739446","8174529","3524187","4021363","3546249"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"4","25","47","60","60","60","60","60","60","60","60"
"1336230","6575138","14205413","6464876","2522570","5214781","4472800","4181749","3507487","4847617","4852148"
