1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
0.06283748428461967,0.1088180243025378,0.10486379181915535,0.0952853256433296,0.08868795533606542,0.11700832896859863,0.12431996383240228,0.10118415875879447,0.10411034197576115,0.09201847686940517,0.10328921234879207,0.10072810636421274,0.09684765302971902,0.08784122294285215,0.07877981525471148,0.08772605847886208,0.08751502824455992,0.06256127702331987,0.05713155554917792,0.051665223163982296
1.9192104556E10,1.6399024647E10,1.6439612501E10,1.6571204571E10,1.6704561035E10,1.6872481332E10,1.7032903639E10,1.7329813698E10,1.7509969735E10,1.7618968493E10,1.7854949274E10,1.8105390951E10,1.8199783615E10,1.8547532534E10,1.8798613959E10,1.9009929005E10,1.9071769508E10,1.9626744576E10,1.9601765418E10,2.0204878059E10
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
0.05315816123496082,0.10291148774729651,0.09298086761477313,0.11002199324197731,0.09381231950892387,0.09917083189208303,0.10516323001134661,0.08524317171595996,0.08942961069238616,0.09493357972520608,0.10257026906738041,0.08528142991558046,0.08618688857656599,0.0974623706036495,0.07965439976824003,0.09315604180708933,0.0750404384243544,0.06302479066348568,0.07248158827650218,0.052512248062952405
2.0337125564E10,1.7257324124E10,1.7556668806E10,1.7674216963E10,1.9127631896E10,1.7726509085E10,1.9657846246E10,1.8444549006E10,1.9387158784E10,1.9188973924E10,1.9811670453E10,2.3734839856E10,2.2338559157E10,2.3470533101E10,2.2283022952E10,2.1960992588E10,2.1690014078E10,2.1291757626E10,2.0519674657E10,2.201407967E10
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
0.056893680446377666,0.11909314351105546,0.11318114344843158,0.09822260192541274,0.1027016827719584,0.09960506710147617,0.1095112381679309,0.0963090286555126,0.0974234732168699,0.09634015272686494,0.10019918307626632,0.093058287982556,0.0946650462699133,0.09592889605604847,0.07577516771233155,0.08579179642718933,0.07801924653992251,0.06723456123571452,0.06709359294391339,0.046541346882564484
2.0307816284E10,1.7335274769E10,1.7505523887E10,1.7070572957E10,1.7095478015E10,1.7385886455E10,1.7617401373E10,1.7717286724E10,1.8002361119E10,1.8669021393E10,1.9619296633E10,2.0403067178E10,1.8757433433E10,1.890153154E10,1.9408415847E10,1.9343343846E10,1.984673043E10,2.0017271118E10,1.9962032888E10,1.9754700927E10
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
0.05566070514080685,0.10124200450025722,0.10215654753936117,0.09591503865896851,0.09058089722746732,0.08872566082538147,0.09584143205122059,0.08677422859910724,0.08201305840722252,0.08924703460544546,0.10993951236838784,0.08804675587071002,0.08784062116319913,0.0789672728040336,0.07593264950713918,0.08091479400293425,0.07392120133584246,0.06812577800176929,0.05950687828328339,0.045266761952788746
2.0072322509E10,1.6707074504E10,1.6504380688E10,1.6801698509E10,1.745085376E10,1.7917982227E10,1.6944101934E10,1.7451253422E10,1.7375588696E10,1.7390594249E10,1.7570386485E10,1.8653343524E10,2.1309925732E10,1.8854025097E10,1.8402566459E10,1.8848734309E10,1.8766463722E10,1.9102655968E10,1.9480111944E10,2.0455293985E10
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
0.052296641034226585,0.135932661209062,0.11669776964014321,0.09090688997802947,0.09076251327656525,0.08981515709997805,0.11816290759837585,0.08571077632104489,0.0803012636338286,0.09085701522109252,0.09101849773860472,0.08620494112444736,0.09625241967432387,0.0964427679941585,0.08180752234929146,0.0944571987929305,0.07226009893931044,0.06775399389807223,0.05762598497704646,0.05144504184983191
2.0303390101E10,1.7714741174E10,1.8778512218E10,1.9168134972E10,1.8934784589E10,1.8722675316E10,1.8336993559E10,1.8140281499E10,1.8473635801E10,1.8960177316E10,1.9991319546E10,1.9527782067E10,1.9479763866E10,2.0533481093E10,2.0068585929E10,2.0642943074E10,1.974873574E10,2.2704385278E10,2.4026783604E10,2.2078650691E10
